material,species,dir,nx,ny,nz,e_d_eV
Fe,Fe,0,-0.4161,0.83167,-0.36767,50.0
Fe,Fe,1,-0.31355,-0.92554,-0.21227,30.0
Fe,Fe,2,0.70445,0.26872,0.65691,35.0
Fe,Fe,3,0.49569,0.78618,0.36908,45.0
Fe,Fe,4,-0.85879,0.44085,0.26102,80.0
Fe,Fe,5,0.20113,-0.68199,-0.70316,75.0
Fe,Fe,6,-0.84671,-0.44561,0.29071,75.0
Fe,Fe,7,-0.05543,0.62901,-0.77542,65.0
Fe,Fe,8,0.37224,0.47528,-0.79721,45.0
Fe,Fe,9,0.79287,0.25695,0.55258,80.0
Fe,Fe,10,-0.60536,-0.72167,-0.33574,40.0
Fe,Fe,11,-0.15481,0.91948,0.36138,30.0
Fe,Fe,12,-0.37988,-0.81257,-0.44206,50.0
Fe,Fe,13,0.82252,-0.54431,0.16489,65.0
Fe,Fe,14,0.27511,-0.9609,0.03127,25.0
Fe,Fe,15,0.53927,-0.8316,-0.13277,55.0
Fe,Fe,16,-0.11026,-0.84902,0.51672,65.0
Fe,Fe,17,-0.03699,-0.86997,0.49172,65.0
Fe,Fe,18,0.36204,0.51161,0.77922,45.0
Fe,Fe,19,0.26754,0.08809,-0.95951,25.0
